 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
3293,294.198,324.705,314.029,319.714,327.267,313.224,319.578,323.613,325.126,323.163,324.429,320.292
3294,293.827,325.154,313.931,320.446,327.709,313.766,319.598,323.223,324.544,323.357,323.950,320.352
3295,293.672,325.192,313.974,321.173,328.199,314.194,319.761,323.011,324.464,323.336,323.697,320.768
3296,293.888,324.875,314.212,321.752,328.377,314.620,320.180,322.801,324.860,323.083,323.582,321.127
3297,294.173,324.797,314.814,322.473,328.123,314.932,321.137,322.570,325.430,322.740,323.411,321.464
3298,294.450,325.100,315.644,323.214,327.885,314.997,322.388,322.582,325.975,322.655,323.209,321.921
3299,294.547,325.501,316.472,323.891,328.000,314.856,323.054,322.733,326.200,322.759,323.202,322.464
3300,294.340,325.621,317.038,324.190,328.402,314.580,322.954,322.543,326.000,322.940,323.506,322.775
3301,294.024,325.604,317.236,324.020,328.791,314.210,322.785,322.093,325.601,323.035,323.948,322.363
3302,293.751,325.450,317.289,323.748,328.643,313.887,323.222,321.664,325.505,323.140,324.144,321.318
3303,293.641,324.808,317.539,323.844,327.845,313.795,323.880,321.371,325.737,323.332,324.077,320.453
3304,293.644,323.634,318.132,324.306,326.911,313.925,324.151,321.028,325.863,323.683,324.146,320.318
3305,293.581,322.631,318.764,324.497,326.336,313.986,324.149,320.697,325.495,323.825,324.350,320.704
3306,292.821,322.531,319.086,324.061,326.319,313.648,324.149,320.754,324.822,323.561,324.249,320.779
3307,291.562,323.154,319.106,323.320,326.679,312.929,324.095,321.107,324.507,323.031,323.788,320.213
3308,290.970,323.672,319.064,323.017,327.052,312.168,324.127,321.480,324.770,322.472,323.280,319.599
3309,291.313,323.585,319.148,322.935,327.110,311.528,324.690,321.628,325.131,321.820,323.143,319.393
3310,291.957,323.285,319.269,322.759,326.741,310.990,325.568,321.510,325.194,321.181,323.366,319.599
3311,292.222,323.122,319.399,322.636,326.137,310.582,326.220,321.050,325.264,320.850,323.589,319.824
3312,292.222,323.404,319.351,322.677,325.666,310.562,326.302,320.302,325.581,320.745,323.511,319.884
3313,292.395,324.016,319.005,322.718,325.509,310.523,326.210,319.575,325.727,320.731,323.324,319.925
3314,292.617,324.797,318.686,322.544,325.393,310.286,326.344,319.295,325.375,320.516,323.321,320.022
3315,292.553,325.509,318.839,322.367,325.005,309.865,326.427,319.571,324.618,320.171,323.384,320.037
3316,292.374,326.168,319.285,322.357,324.489,309.335,325.985,319.962,324.068,319.875,323.276,320.592
3317,292.432,326.805,319.238,322.531,324.374,308.891,325.139,320.276,323.851,319.712,322.803,321.742
3318,292.675,327.542,318.698,322.544,324.630,308.667,324.544,320.463,323.785,319.855,322.202,323.090
3319,292.991,327.976,318.395,322.078,324.788,308.609,324.761,320.641,323.654,320.300,321.895,324.007
3320,293.337,327.930,318.620,321.752,324.623,308.684,325.517,320.817,323.696,320.912,322.120,324.079
3321,293.693,327.528,318.815,322.000,324.327,309.057,325.888,320.957,324.160,321.208,322.719,323.457
3322,293.933,327.100,318.450,322.565,324.184,309.589,325.583,320.988,324.677,321.193,323.269,322.831
3323,293.827,326.829,317.790,322.952,324.181,309.868,324.920,320.836,324.748,321.019,323.464,322.599
3324,293.489,326.477,317.333,323.320,323.956,309.800,324.112,320.647,324.384,320.718,323.365,322.431
3325,293.267,325.821,317.124,323.701,323.307,309.674,323.324,320.448,323.871,320.177,323.143,321.944
