 ,Mean1,Mean4,Mean6,Mean7
477,636.526,863.570,714.713,800.346
478,636.289,865.895,714.954,800.317
479,636.185,866.161,715.097,800.054
480,636.073,863.037,714.399,799.764
481,636.140,859.503,713.304,799.826
482,636.360,859.310,713.016,800.288
483,636.306,862.593,713.705,800.858
484,635.685,865.709,714.519,801.112
485,634.680,864.938,714.394,800.761
486,633.448,860.835,713.257,800.047
487,632.363,857.669,712.159,799.533
488,631.794,858.158,711.983,799.338
489,631.827,860.529,712.387,799.212
490,632.524,860.900,712.284,798.930
491,633.303,858.165,711.444,798.467
492,633.993,855.240,710.994,798.104
493,634.751,855.325,711.700,798.094
494,635.635,858.280,712.967,798.274
495,636.652,860.819,713.615,798.279
496,637.325,860.082,713.250,797.841
497,637.192,857.179,712.438,797.305
498,636.550,855.749,712.203,797.247
499,636.427,857.485,713.065,797.832
500,637.223,859.898,714.240,798.692
501,638.154,859.314,714.382,799.350
502,638.547,855.860,713.147,799.560
503,638.339,853.859,712.022,799.560
504,638.040,857.177,712.475,799.770
505,637.957,864.803,714.505,800.023
506,638.256,871.956,716.590,799.931
507,639.021,874.704,717.291,799.477
508,639.858,873.498,716.715,799.087
509,640.403,872.396,716.390,798.972
510,641.009,873.805,717.000,798.869
511,641.893,875.696,717.629,798.599
512,642.699,874.709,717.206,798.127
513,642.609,870.735,716.029,797.752
514,641.832,867.385,715.363,797.631
515,641.398,867.696,715.535,797.588
516,641.701,870.417,715.596,797.207
517,642.140,871.321,714.601,796.375
518,641.891,868.195,712.690,795.212
519,641.436,863.659,711.009,794.286
520,641.455,862.033,710.551,793.981
521,641.789,864.010,711.131,794.355
522,641.756,866.043,711.584,795.022
523,641.348,864.581,711.153,795.385
524,641.185,860.650,709.905,795.287
525,641.874,858.435,708.897,795.138
526,643.377,860.293,708.977,795.375
527,644.877,863.863,709.974,795.868
528,645.590,864.823,710.727,796.043
529,645.064,861.686,710.483,795.522
530,644.073,857.907,709.684,794.566
531,643.498,857.684,709.441,793.916
532,643.521,861.018,710.211,793.997
533,643.820,863.832,711.029,794.607
534,643.991,862.711,710.678,795.125
535,643.979,858.981,709.491,795.153
536,643.917,857.228,708.805,794.972
537,644.258,859.715,709.134,795.110
538,644.986,863.685,709.728,795.624
539,645.502,864.798,709.484,795.970
540,645.164,862.377,708.474,795.660
541,644.552,860.507,707.895,795.019
542,645.083,863.326,708.830,794.800
