 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
106,272.147,285.835,262.526,261.889,274.385,263.388,252.505,256.688,257.819,248.629,252.216,256.238,348.340,254.094,249.167,254.140,246.369,253.032,258.586,256.330,256.481,257.084
107,273.023,287.355,262.066,262.128,274.750,263.279,253.023,255.855,258.273,248.167,252.759,255.794,348.923,254.199,248.791,254.188,246.425,253.370,259.986,257.082,256.875,256.902
108,273.240,288.365,261.484,261.692,274.974,263.874,253.323,255.004,258.249,247.812,252.902,255.206,349.549,253.600,248.766,254.150,246.617,253.117,261.382,257.361,256.817,256.460
109,273.115,288.858,261.178,260.564,275.020,264.650,253.493,254.770,258.184,247.758,252.539,254.919,350.260,252.594,249.240,254.146,246.834,252.452,262.375,257.429,256.547,255.829
110,272.945,289.306,261.049,259.419,274.823,265.101,253.604,255.234,258.461,248.462,252.212,254.973,351.532,251.829,249.973,254.188,247.112,251.950,262.507,257.270,256.433,255.404
111,272.512,289.931,260.815,259.077,274.619,265.093,253.546,256.113,258.867,249.409,252.298,255.233,353.860,251.329,250.519,254.262,247.495,251.773,261.993,256.783,256.308,255.548
112,272.092,290.704,260.453,259.449,274.544,264.792,253.452,256.820,259.126,250.371,252.514,255.336,356.838,250.970,250.549,254.649,247.984,251.645,261.293,256.130,256.193,256.078
113,272.046,291.469,260.014,259.944,274.749,264.724,253.124,257.047,259.003,251.382,252.457,255.206,359.459,250.604,250.259,255.239,248.143,251.383,260.868,255.728,255.950,256.460
114,272.779,291.871,259.463,260.175,275.275,265.079,252.417,257.078,258.867,252.371,252.273,255.323,361.135,250.438,249.989,255.816,247.619,251.160,260.493,255.441,255.664,256.594
115,274.009,291.708,258.760,260.457,276.211,265.549,251.452,256.707,259.020,252.914,252.167,255.906,362.244,250.582,249.840,256.002,246.629,251.069,260.150,255.265,255.592,256.544
116,274.949,291.169,258.596,261.265,277.387,265.836,250.611,255.984,259.440,252.763,252.310,256.691,363.071,250.954,249.646,255.907,245.860,251.058,259.761,255.337,255.797,256.337
117,274.779,290.817,259.125,262.585,278.427,265.787,250.622,255.359,259.768,252.258,252.404,257.170,363.756,251.273,249.500,255.687,245.893,251.102,259.296,255.773,255.990,255.962
118,273.696,290.734,259.770,264.030,279.104,265.552,251.424,255.195,259.580,251.909,252.424,257.081,364.199,251.412,249.644,255.258,246.437,251.392,258.975,256.371,256.089,255.639
