 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
177,319.163,321.455,313.233,303.683,325.929,329.159,322.343,333.178,340.455,340.698,318.663,319.798,310.097
178,319.188,321.781,313.337,304.505,325.228,328.812,322.167,332.436,340.362,340.233,317.927,319.953,309.865
179,319.159,321.891,313.276,305.553,324.520,328.521,321.619,332.128,340.084,339.928,317.148,320.013,309.972
180,318.763,321.551,313.140,306.433,324.269,328.337,320.829,332.385,339.721,339.600,316.674,319.836,310.000
181,318.047,321.342,312.978,306.782,324.310,328.075,319.954,332.736,339.292,339.210,316.456,319.538,309.816
182,317.241,321.477,312.730,306.658,324.366,327.617,319.132,332.723,338.793,338.894,316.401,319.262,309.562
183,316.561,321.757,312.414,306.417,323.991,327.086,318.454,332.317,338.257,338.807,316.588,319.197,309.586
184,316.159,321.871,312.180,306.484,323.120,326.531,318.105,331.834,337.696,338.949,316.946,319.470,309.929
185,316.123,321.670,312.170,306.697,322.058,325.907,317.999,331.608,337.261,339.227,317.245,319.811,310.248
186,316.275,321.288,312.213,306.803,321.318,325.226,317.949,331.538,336.939,339.344,317.213,320.042,310.362
187,316.405,320.885,312.148,306.661,321.026,324.585,317.718,331.336,336.612,338.917,316.710,320.184,310.352
188,316.513,320.533,311.963,306.594,320.809,324.044,317.392,330.901,336.190,338.111,316.061,320.146,310.364
189,316.708,320.231,311.766,306.704,320.591,323.656,317.178,330.445,335.806,337.334,315.535,319.692,310.515
190,316.867,319.992,311.709,306.752,320.617,323.364,316.970,330.076,335.573,336.977,315.256,318.928,310.731
191,316.841,320.002,311.629,306.599,320.916,323.218,316.621,329.928,335.485,336.964,315.093,318.428,310.952
192,316.674,320.308,311.273,306.225,321.265,323.197,316.292,329.905,335.274,337.132,315.013,318.371,310.937
193,316.379,320.680,310.684,306.021,321.589,323.020,316.113,329.874,334.858,337.462,315.017,318.577,310.850
194,315.939,321.074,309.984,305.970,321.871,322.631,316.088,329.580,334.444,337.664,315.093,318.713,310.915
195,315.396,321.302,309.631,305.798,321.877,322.169,315.998,329.099,334.239,337.597,315.149,318.692,310.903
