 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
212,216.767,239.873,269.037,214.898,228.040,219.986,207.806,227.440,228.057
213,217.024,239.660,268.982,214.841,228.479,219.991,207.750,227.449,228.114
214,217.353,239.337,269.200,215.085,228.709,220.560,207.678,227.665,227.896
215,217.668,239.044,269.556,215.377,228.832,221.206,207.809,227.920,227.375
216,218.034,239.114,269.924,215.088,229.113,221.693,208.140,228.193,226.815
217,218.521,239.544,270.216,214.433,229.751,222.069,208.567,228.449,226.230
218,219.026,240.242,270.148,214.221,230.585,222.381,208.949,228.696,225.801
219,219.166,240.931,269.610,214.728,231.450,222.656,209.266,228.961,225.630
220,218.821,241.508,269.098,215.490,232.209,223.266,209.567,229.086,225.792
221,218.584,242.087,268.916,215.864,232.781,224.381,209.757,229.117,226.223
222,218.728,242.804,268.982,215.881,233.268,225.711,209.641,229.147,226.732
223,219.000,243.562,269.207,215.805,233.628,226.500,209.277,229.395,227.093
224,219.076,244.044,269.399,215.657,233.903,226.087,208.947,229.871,227.363
225,219.125,244.036,269.556,215.354,234.073,224.771,208.511,230.289,227.680
226,219.166,243.575,269.788,215.167,234.087,223.468,208.054,230.477,227.967
227,219.118,243.167,270.312,215.289,233.858,222.972,207.539,230.534,228.220
228,218.970,242.948,270.956,215.807,233.430,223.417,207.186,230.604,228.393
229,218.868,242.686,271.433,216.507,232.879,224.078,207.112,230.680,228.590
230,218.817,242.374,271.578,217.051,232.322,224.528,207.215,230.634,228.711
231,218.873,242.175,271.314,217.045,231.972,224.541,207.049,230.173,228.683
232,219.103,242.154,270.680,216.507,231.823,224.188,206.567,229.368,228.505
233,219.299,242.281,270.096,215.578,231.756,223.706,205.977,228.544,228.237
234,219.341,242.399,269.861,214.649,231.722,223.509,205.655,228.116,228.029
235,219.194,242.342,269.998,214.054,231.665,223.408,205.841,228.212,227.938
236,219.090,242.018,270.216,213.938,231.426,223.009,206.529,228.515,227.789
237,219.235,241.493,270.252,214.153,231.033,222.280,207.287,228.544,227.400
238,219.509,240.895,269.974,214.462,230.553,221.748,207.797,228.189,226.907
239,219.565,240.353,269.555,214.754,230.067,221.413,208.086,227.749,226.779
240,219.472,240.105,269.226,214.864,229.830,221.390,208.483,227.400,227.055
241,219.563,240.158,269.296,214.603,229.819,221.463,208.856,227.092,227.460
242,219.950,240.382,269.599,214.071,229.728,221.532,208.958,226.912,227.573
243,220.241,240.472,269.808,213.533,229.265,221.569,208.690,226.938,227.396
244,220.310,240.459,269.648,213.207,228.610,221.711,208.294,227.073,227.294
245,220.159,240.675,269.221,212.960,228.275,221.862,208.035,227.187,227.448
246,220.131,240.900,268.771,212.833,228.383,221.959,207.963,227.256,227.614
247,220.349,241.137,268.538,213.014,228.798,221.959,208.154,227.176,227.623
248,220.612,241.500,268.462,213.507,229.098,221.963,208.429,226.935,227.382
249,220.651,241.938,268.591,214.170,229.137,222.073,208.627,226.679,227.024
250,220.422,242.116,268.887,214.765,229.103,222.312,208.725,226.550,226.692
251,220.157,241.712,269.274,215.150,229.095,222.261,208.835,226.553,226.529
252,220.129,240.962,269.601,215.142,229.396,221.803,208.946,226.766,226.486
253,220.340,240.528,269.890,214.986,229.823,221.170,209.093,227.116,226.469
254,220.539,240.850,270.195,215.048,230.157,220.702,209.236,227.439,226.296
255,220.586,241.722,270.436,215.167,229.999,220.624,209.308,227.670,226.137
256,220.601,242.495,270.573,215.215,229.583,220.950,209.343,227.883,226.164
257,220.752,242.877,270.680,215.190,229.356,221.642,209.410,228.092,226.268
258,221.095,242.989,270.706,215.184,229.442,222.353,209.468,228.221,226.336
259,221.451,242.905,270.637,215.224,229.658,222.321,209.618,228.359,226.365
260,221.679,242.902,270.456,215.161,229.811,221.358,209.739,228.604,226.234
261,221.780,243.096,270.120,215.008,230.064,220.055,209.641,228.872,226.128
262,222.185,243.394,269.666,214.966,230.624,219.725,209.266,229.212,226.372
263,223.050,243.719,269.171,215.096,231.423,220.826,208.916,229.589,226.770
