 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
138,388.036,379.126,426.587,387.959,374.927,401.205,385.519,368.184,376.975,377.081,368.023,390.398,372.123,379.206,370.310
139,387.823,378.476,425.409,387.508,374.059,400.432,384.617,368.547,376.561,376.384,367.227,390.676,372.022,378.289,370.712
140,387.365,378.058,424.623,387.573,373.822,399.646,384.296,369.336,376.307,376.184,367.344,389.813,371.874,377.929,370.416
141,386.628,378.037,424.039,387.743,374.142,398.808,384.123,370.128,376.120,376.354,368.068,388.229,371.654,377.726,369.623
142,386.130,378.209,423.332,387.725,374.836,397.910,383.975,370.379,376.098,376.484,368.619,386.711,371.198,377.457,368.693
143,386.014,378.000,422.384,387.507,375.242,397.110,383.881,369.824,376.187,376.157,368.489,385.894,370.911,377.287,368.011
144,386.105,377.351,421.248,387.195,374.749,396.457,383.700,368.824,375.816,375.200,368.151,385.282,371.079,377.086,367.878
145,386.112,376.634,420.026,386.632,373.603,395.891,383.185,367.776,374.951,373.822,367.804,384.408,371.511,376.787,368.102
146,386.011,376.304,418.824,385.687,372.881,395.245,382.634,367.179,373.887,372.314,367.443,383.465,371.627,376.579,368.280
147,385.704,375.937,417.705,384.583,373.274,394.630,382.276,367.104,373.163,371.314,367.037,383.229,371.279,376.541,368.449
148,385.350,375.283,416.681,383.667,374.511,394.140,381.922,367.219,372.801,371.186,366.582,383.887,370.647,376.657,368.909
149,385.224,374.822,415.741,383.144,375.516,393.624,381.444,367.149,372.712,371.154,366.267,384.616,369.921,376.843,369.454
150,385.184,375.152,414.946,383.043,375.667,393.032,380.757,366.821,372.791,370.592,366.352,384.680,369.632,376.698,369.551
151,385.166,376.021,414.254,383.070,374.881,392.439,380.333,366.544,372.994,369.714,366.886,384.028,370.064,376.132,368.942
152,384.708,376.461,413.496,382.667,373.986,391.876,380.453,366.645,373.215,369.095,367.301,382.968,370.627,375.632,367.925
153,383.671,376.157,412.603,381.679,373.630,391.129,380.580,366.987,373.399,368.959,367.139,381.880,370.627,375.749,366.906
