 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
211,472.479,510.510,477.859,446.854,451.662,449.982,452.447,447.654,441.926,441.552,454.938,445.811
212,471.927,511.043,478.596,446.541,451.815,450.187,452.959,447.409,442.543,441.161,455.225,445.195
213,471.250,511.085,479.630,446.059,451.146,449.965,453.242,447.037,443.679,441.140,455.414,444.911
214,470.738,510.776,481.355,446.381,450.110,449.222,452.817,446.428,444.885,442.364,455.339,445.139
215,470.643,510.357,483.835,447.812,449.405,448.454,451.609,445.636,445.409,444.376,454.852,445.473
216,471.020,510.138,486.154,449.501,449.128,448.144,450.147,445.197,444.887,445.746,454.165,446.139
217,471.614,510.399,487.440,450.487,449.261,448.162,449.141,445.848,443.438,445.731,453.500,447.340
218,472.087,511.120,487.838,450.910,449.691,448.141,448.935,447.260,441.853,444.687,452.987,448.598
219,472.550,512.079,488.085,451.518,450.126,448.187,449.268,448.487,441.064,443.636,453.084,449.420
220,473.259,513.092,488.361,452.608,450.500,448.585,449.612,448.825,441.530,443.155,454.221,449.757
221,474.342,513.903,488.303,453.885,450.489,449.239,449.758,448.844,442.677,443.421,456.054,450.083
222,475.251,514.359,487.688,455.073,450.034,450.060,449.765,449.468,443.713,443.952,457.940,450.861
223,475.801,514.506,486.932,455.737,449.365,450.827,449.721,450.517,444.206,444.131,459.200,452.139
224,476.033,514.389,486.397,456.020,448.579,451.021,449.671,451.208,444.370,444.254,459.719,453.154
225,476.180,513.908,485.874,456.258,447.937,450.514,449.539,451.059,444.528,444.794,459.878,453.302
226,476.464,512.996,485.117,456.840,447.755,449.835,449.330,450.565,444.715,445.504,460.137,452.624
227,476.803,512.081,484.195,457.661,447.838,449.613,449.274,450.301,444.817,445.910,460.670,451.568
228,477.115,511.495,483.367,458.062,447.628,449.789,449.368,450.357,444.604,445.925,460.955,450.500
229,477.033,511.088,482.739,457.655,446.860,449.915,449.200,450.532,444.311,445.627,460.706,449.675
230,476.709,510.623,481.992,456.812,445.764,449.803,448.580,450.524,444.166,444.827,459.996,449.133
231,476.494,510.040,480.977,455.944,444.635,449.803,448.000,450.435,444.413,443.513,459.043,448.935
232,476.667,509.350,479.972,455.185,443.764,450.299,448.112,450.056,445.185,442.328,458.212,448.947
233,477.007,508.517,479.863,454.860,443.173,451.109,449.192,449.677,446.285,442.090,457.813,449.234
234,477.441,507.953,481.429,454.992,442.613,451.398,450.809,449.732,447.598,442.645,457.897,449.692
235,478.213,508.498,484.539,455.188,442.128,450.768,452.542,450.405,449.526,443.287,458.077,450.166
236,479.352,511.032,487.887,454.966,441.939,449.732,454.102,451.264,452.089,443.104,457.959,450.586
237,480.718,515.360,490.184,454.258,441.946,448.789,455.438,451.989,454.323,442.006,457.502,450.615
238,482.011,520.126,491.055,453.378,441.836,448.222,456.636,452.833,455.723,440.719,456.976,450.225
239,482.867,523.797,491.060,452.770,441.324,448.292,457.279,453.914,456.332,440.275,456.489,449.355
240,483.208,525.658,490.998,452.655,440.608,448.898,457.092,455.100,456.411,440.451,455.871,448.195
241,483.366,526.114,491.197,452.854,439.858,449.387,456.283,456.401,456.240,440.546,454.856,447.399
242,483.599,525.879,491.500,453.053,439.248,449.232,455.433,457.439,456.062,440.328,453.764,447.287
243,483.927,525.474,491.323,453.353,439.327,448.768,455.173,457.870,455.666,439.958,452.979,447.411
244,483.896,524.967,490.506,453.776,439.912,448.768,455.462,458.126,455.066,439.385,452.500,446.973
245,483.195,524.413,489.180,454.118,440.408,449.366,455.752,458.550,454.481,438.615,452.079,445.938
246,482.115,523.901,487.658,453.846,440.252,449.905,455.548,458.952,454.398,438.081,451.481,445.074
247,481.186,523.493,485.818,453.017,439.610,449.979,454.923,459.071,454.749,437.872,450.828,444.663
248,480.858,522.954,484.009,452.034,438.998,449.655,454.183,459.316,455.168,437.860,450.431,444.669
249,481.077,522.216,482.915,451.148,438.939,449.060,453.550,459.807,455.260,437.860,450.307,445.041
250,481.246,521.404,482.414,450.272,439.435,448.507,453.173,459.888,454.904,438.125,450.234,445.524
251,480.863,520.449,481.741,449.389,440.005,448.507,453.018,459.398,454.138,438.442,450.189,445.417
252,480.158,519.151,480.758,448.829,439.995,449.310,452.789,458.509,453.128,438.310,450.498,444.672
253,479.430,517.678,480.227,448.782,439.252,450.081,452.394,457.494,452.389,437.898,451.043,443.852
254,478.490,516.298,480.231,449.190,438.342,450.106,451.892,456.316,452.381,438.054,451.290,443.607
255,477.373,515.215,480.259,449.882,438.065,449.419,451.455,455.141,452.864,438.681,450.730,443.749
256,476.266,514.349,479.942,450.331,438.662,448.701,451.106,454.528,453.217,438.707,449.680,444.080
257,475.559,513.631,479.423,450.062,439.320,447.954,450.750,454.695,453.215,437.242,449.277,444.544
258,475.437,513.095,478.968,449.249,439.291,447.243,450.589,455.387,453.038,435.078,449.830,445.089
259,476.040,512.835,478.788,448.535,439.002,446.514,450.611,455.677,452.881,433.690,450.545,445.435
260,477.180,513.332,479.472,448.549,439.018,446.028,450.536,455.208,452.538,433.507,450.785,445.163
261,478.392,515.055,481.506,449.577,439.437,445.771,450.258,454.673,451.883,434.006,450.697,444.426
262,479.268,517.741,484.374,451.692,439.982,445.482,449.824,455.156,451.292,434.675,450.631,444.095
263,480.002,520.468,487.115,454.143,439.944,445.282,449.250,456.944,450.900,435.752,450.796,444.689
264,480.951,522.484,489.026,456.471,439.194,445.331,448.620,458.825,450.613,437.457,451.088,446.030
265,481.838,523.664,490.303,458.289,438.376,445.623,448.194,459.803,450.594,439.194,451.242,447.107
266,482.434,524.331,491.115,459.266,438.282,445.954,448.382,459.877,451.013,439.848,451.026,447.491
267,483.091,525.221,491.162,459.647,438.937,446.134,449.262,459.758,451.468,439.403,450.886,447.817
268,484.328,526.974,490.209,460.031,439.745,445.961,450.239,459.691,451.545,439.119,451.418,448.314
269,485.854,529.528,488.605,461.176,440.482,445.549,450.839,459.610,451.202,439.418,452.530,448.710
270,486.942,532.077,487.165,462.647,441.110,445.454,450.895,459.546,450.496,439.970,453.459,449.095
271,487.082,533.901,486.305,463.672,441.279,446.060,450.782,459.253,449.511,440.463,453.476,449.624
272,486.485,535.021,485.992,464.168,440.570,446.944,451.047,458.576,448.581,440.818,452.869,450.178
273,485.703,535.661,485.695,464.720,439.223,447.542,451.880,457.610,448.036,440.809,452.326,450.056
