 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
465,429.268,441.558,403.941,419.656,418.145,424.945
466,429.292,441.771,404.635,419.154,418.389,424.579
467,429.304,441.986,404.974,419.191,418.458,424.402
468,429.103,442.047,404.678,419.727,418.355,424.418
469,428.673,442.174,403.920,420.385,418.169,424.645
470,428.210,442.581,403.020,420.840,418.000,424.971
471,427.938,443.140,402.274,421.077,417.954,425.093
472,427.987,443.568,401.727,421.131,418.008,424.895
473,428.220,443.547,401.592,421.038,418.103,424.628
474,428.433,443.383,401.853,420.937,418.156,424.503
475,428.422,443.347,402.374,420.775,418.094,424.472
476,428.297,443.719,402.894,420.740,417.816,424.535
477,428.228,444.314,403.308,420.832,417.380,424.794
478,428.248,444.695,403.575,421.023,417.018,425.065
479,428.406,444.724,403.581,421.098,416.963,425.187
480,428.912,444.613,403.349,421.026,417.156,425.220
481,429.571,444.501,403.090,420.755,417.332,425.193
482,429.957,444.433,402.991,420.324,417.303,425.063
483,429.790,444.190,403.030,419.776,417.375,424.831
484,429.497,443.748,403.025,419.419,417.570,424.635
485,429.499,443.301,403.022,419.456,417.578,424.514
486,429.727,443.099,403.097,419.773,417.209,424.373
487,429.869,443.250,403.199,420.067,416.572,424.254
488,429.649,443.683,403.168,420.045,416.043,424.373
489,429.213,444.334,402.987,419.798,415.934,424.678
490,428.999,444.987,402.760,419.567,416.232,425.065
491,429.273,445.329,402.546,419.376,416.662,425.466
492,429.670,445.209,402.441,419.072,416.978,425.835
493,429.793,445.026,402.624,418.686,417.149,425.932
494,429.690,445.112,403.053,418.347,417.093,425.763
495,429.531,445.329,403.492,418.231,416.805,425.599
496,429.417,445.465,403.742,418.089,416.581,425.705
497,429.264,445.527,403.754,417.885,416.643,426.132
498,429.320,445.601,403.618,417.790,416.867,426.684
499,429.635,445.619,403.449,417.840,416.990,427.107
500,430.003,445.576,403.266,418.011,417.016,427.259
501,430.179,445.433,403.159,418.164,417.078,427.268
502,430.151,445.066,403.108,418.284,417.136,427.189
503,429.956,444.754,403.281,418.346,417.206,427.050
504,429.634,444.806,403.744,418.609,417.338,426.860
505,429.286,445.269,404.210,419.003,417.388,426.532
506,428.989,445.685,404.376,419.194,417.219,426.156
507,428.699,445.765,404.211,418.903,416.859,425.768
508,428.594,445.597,403.874,418.480,416.413,425.646
509,428.781,445.456,403.658,418.337,415.976,425.829
510,428.994,445.201,403.642,418.497,415.655,426.151
511,429.000,444.709,403.719,418.684,415.559,426.390
512,429.063,444.073,403.798,418.781,415.506,426.680
513,429.208,443.658,403.785,418.704,415.314,426.848
514,429.175,443.590,403.571,418.560,415.053,426.871
515,428.782,443.873,403.230,418.568,414.856,426.909
516,428.484,444.240,403.072,418.731,414.745,427.085
517,428.622,444.439,403.335,418.749,414.737,427.460
518,429.072,444.531,403.832,418.520,414.879,427.878
519,429.508,444.796,404.096,418.015,415.132,428.159
520,429.587,445.288,404.034,417.428,415.356,428.226
521,429.291,445.719,403.905,416.989,415.581,428.118
522,428.906,445.742,403.826,416.872,415.756,427.919
523,428.796,445.243,403.675,416.911,415.623,427.615
524,429.123,444.675,403.332,417.031,415.160,427.389
525,429.504,444.447,403.006,417.276,414.512,427.401
526,429.776,444.400,402.991,417.710,414.130,427.636
527,429.903,444.358,403.177,418.134,414.165,427.932
528,430.028,444.390,403.361,418.322,414.436,428.309
529,430.149,444.404,403.485,418.190,414.679,428.809
530,430.193,444.317,403.667,417.788,414.726,429.252
531,430.200,444.299,404.016,417.127,414.714,429.377
532,430.220,444.607,404.358,416.395,414.773,429.147
