 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
164,517.240,498.046,514.351,504.032,509.744,519.418,495.823,504.739,523.495,513.364,517.083,504.501,488.947,487.397,501.828,519.675,500.082
165,516.796,498.129,514.435,504.118,509.778,519.545,495.440,504.448,522.468,513.428,516.398,503.829,489.511,487.838,501.317,519.270,499.959
166,516.273,498.359,513.881,504.102,509.568,519.141,495.172,504.448,521.528,513.460,516.203,503.169,490.847,488.223,501.056,519.207,499.891
167,515.827,498.467,513.642,504.076,509.256,518.394,494.982,504.534,521.044,513.404,516.182,503.087,492.281,488.377,501.210,519.335,499.789
168,515.460,498.285,513.793,503.895,508.899,517.580,495.029,504.409,521.156,513.174,515.911,503.566,493.264,488.194,501.641,519.510,499.414
169,515.109,497.977,513.747,503.754,508.711,516.847,495.241,503.928,521.398,512.853,515.677,504.042,493.804,487.816,502.179,519.697,498.986
170,514.883,497.814,512.951,503.625,508.621,516.154,495.498,503.391,521.283,512.489,515.878,503.978,494.206,487.542,502.549,519.803,499.002
171,514.732,497.727,511.814,503.396,508.537,515.785,495.951,503.228,520.930,511.977,516.273,503.566,494.734,487.314,502.549,519.683,499.523
172,514.761,497.566,510.779,502.926,508.449,515.863,496.622,503.415,520.651,511.562,516.232,503.316,495.295,486.953,502.167,519.179,500.023
173,515.275,497.186,510.007,502.311,508.625,516.051,497.065,503.604,520.662,511.417,515.470,503.459,495.387,486.713,501.583,518.703,500.066
174,516.214,496.810,509.407,501.724,508.888,515.992,496.825,503.495,520.888,511.577,514.526,503.646,494.956,486.826,501.259,518.803,499.859
175,517.003,496.479,508.930,501.401,508.805,515.844,496.089,503.255,520.976,511.887,513.876,503.470,494.460,486.988,501.263,519.382,499.797
176,517.086,496.289,508.565,501.340,508.485,515.989,495.549,502.996,520.694,512.317,513.633,502.931,494.400,487.051,501.203,520.045,499.748
177,516.495,496.305,508.439,501.420,508.325,516.519,495.442,502.739,520.260,512.570,513.526,502.318,494.843,487.270,500.656,520.197,499.557
178,515.766,496.687,508.530,501.533,508.561,516.860,495.534,502.648,520.090,512.417,513.737,501.860,495.586,487.512,499.737,519.750,499.260
179,515.371,497.443,508.453,501.683,508.783,516.561,495.587,502.960,520.246,511.815,514.456,501.679,496.228,487.314,498.817,519.152,499.125
180,515.293,498.304,508.081,501.948,508.704,515.793,495.354,503.572,520.505,511.334,515.555,501.710,496.567,486.706,498.353,518.760,499.197
181,515.168,499.110,507.600,502.152,508.421,514.908,495.075,504.286,520.696,511.077,516.203,501.982,496.574,486.201,498.496,518.610,499.297
182,514.864,499.799,507.400,502.190,508.399,514.087,494.981,504.783,520.798,510.870,515.828,502.501,496.322,486.037,499.038,518.728,499.365
183,514.452,500.390,507.611,502.134,508.675,513.473,494.837,505.139,520.690,510.630,514.750,503.149,495.973,486.083,499.422,519.079,499.225
184,513.913,500.694,508.186,502.102,508.956,513.288,494.512,505.486,520.335,510.489,513.822,503.541,495.782,486.321,499.435,519.476,498.895
185,513.250,500.595,508.747,502.228,508.833,513.457,494.140,505.923,519.806,510.726,513.373,503.846,495.714,486.600,499.404,519.980,498.545
186,512.601,500.203,509.354,502.520,508.351,513.606,493.982,506.305,519.232,511.185,512.998,504.305,495.707,486.654,499.500,520.366,498.463
187,512.421,499.935,509.832,502.985,507.743,513.568,494.278,506.484,518.566,511.574,512.248,504.686,495.734,486.549,499.538,520.484,498.730
188,512.835,499.980,509.972,503.243,507.136,513.492,494.801,506.576,517.960,511.768,511.366,504.650,496.140,486.547,499.368,520.573,499.252
189,513.395,500.116,509.596,503.112,506.912,513.545,494.719,506.639,517.957,511.770,510.689,503.996,497.070,486.583,499.196,520.933,499.641
190,513.649,500.127,508.814,502.613,507.449,513.695,493.796,506.767,518.598,511.713,510.397,503.136,498.213,486.493,499.083,521.565,499.494
