 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
145,505.850,501.039,491.186,501.504,504.569,507.141,508.231,484.631,493.941,500.897,515.825,508.017,499.726,520.051,513.241,510.657,500.192,495.248,493.953,485.414,503.231
146,507.817,505.058,495.879,501.900,506.071,509.619,508.387,484.343,499.283,500.240,514.732,507.312,495.264,519.624,511.340,508.976,500.480,496.929,497.139,486.830,507.428
147,498.330,503.258,491.042,501.166,509.845,504.268,511.040,483.405,492.732,498.970,512.929,508.347,494.612,515.763,514.512,505.588,503.514,493.334,497.253,491.252,511.409
148,498.623,504.502,492.470,502.851,502.525,504.439,513.573,483.332,497.408,497.587,511.637,507.110,495.788,520.360,515.917,509.000,502.017,496.146,496.200,489.349,507.882
149,507.187,499.873,493.820,501.052,507.832,502.599,509.542,480.098,497.975,497.775,512.382,506.872,494.246,517.262,515.303,509.502,500.916,494.467,496.430,492.101,505.218
150,503.498,505.869,494.186,502.907,507.172,503.362,509.615,483.371,498.707,494.848,511.832,507.840,495.643,517.708,514.412,504.345,500.537,494.599,496.617,492.043,508.696
151,503.458,501.249,492.972,502.759,507.266,504.616,509.911,487.472,492.791,497.969,513.166,508.905,494.118,517.170,514.455,511.768,499.209,494.669,497.788,489.546,504.913
152,504.857,500.736,491.462,500.757,503.896,505.696,509.315,481.436,493.470,499.116,515.059,506.990,495.004,515.303,515.729,504.723,502.204,494.023,495.316,495.795,501.255
153,501.667,501.425,492.086,502.575,512.549,505.315,511.356,484.245,492.972,500.130,512.520,506.570,495.823,513.869,514.287,507.927,503.778,495.176,493.831,490.116,510.551
154,503.663,503.333,493.216,502.363,502.539,504.657,509.557,481.910,495.495,497.703,511.227,504.508,495.391,515.867,511.666,503.135,499.146,496.005,494.919,490.158,507.409
155,500.985,503.444,491.018,504.351,505.397,503.403,509.557,481.505,498.393,497.459,512.284,507.080,494.131,515.440,513.517,509.047,500.085,492.747,492.259,493.158,505.688
156,500.066,499.021,492.899,503.894,496.269,505.685,509.544,482.781,489.555,497.071,511.071,507.196,494.639,517.738,513.383,507.148,498.630,493.626,497.014,491.446,508.171
